"Rank","Title","Year","Journal","Citations","First Author"
"1","Chemical injuries of the eye: Current concepts in pathophysiology and therapy","1997","Survey of Ophthalmology","499","Wagoner M.D."
"2","Comparison of corneal wavefront aberrations after photorefractive keratectomy an...","1999","American Journal of Ophthalmology","402","Oshika T."
"3","Excimer laser in situ keratomileusis under a corneal flap for myopia of 2 to 20 ...","1996","American Journal of Ophthalmology","211","Salah T."
"4","Recent concepts in biodegradable polymers for tissue engineering paradigms: a cr...","2019","International Materials Reviews","194","Iqbal N."
"5","Vernal keratoconjunctivitis: A major review","2009","Acta Ophthalmologica","178","Kumar S."
"6","Randomized bilateral comparison of excimer laser in situ keratomileusis and phot...","1999","Ophthalmology","177","El-Maghraby A."
"7","Plant defense against fungal pathogens by antagonistic fungi with Trichoderma in...","2019","Microbial Pathogenesis","163","Adnan M."
"8","3D collagen orientation study of the human cornea using X-ray diffraction and fe...","2009","Investigative Ophthalmology and Visual Science","145","Abahussin M."
"9","Retention of the Boston keratoprosthesis type 1: Multicenter study results","2013","Ophthalmology","135","Ciolino J.B."
"10","Comparison of photorefractive keratectomy with excimer laser in situ keratomileu...","1999","Ophthalmology","129","El Danasoury M.A."
