"title","year","authors","affiliations","journal","citations","keywords","affiliation_missing","source","doi"
"Exploring the apoptosis-inducing potential of Syzygium cimini leaves in cancer treatment; LC-ESI-MS/MS analysis, biological assessments, and computational studies","2026","Al-Karmalawy A.A.; Eissa M.E.; Taher R.F.; Yousef T.A.; Khatib A.O.A.; Sharaky M.; Alnajjar R.; Abbas H.A.","Department of Pharmaceutical Chemistry, College of Pharmacy, The University of Mashreq, Baghdad, 10023, Iraq; College of Science, Chemistry Department, Imam Mohammad Ibn Saud Islamic University (IMSIU), Riyadh, 11623, Saudi Arabia; Natural Compounds Chemistry Department, Pharmaceutical and Drug Industries Research Institute, National Research Centre, Giza, Dokki, 12622, Egypt; Faculty of Pharmacy, Al-Ahliyya Amman University, Amman, Jordan; Cancer Biology Department, Pharmacology Unit, National Cancer Institute (NCI), Cairo University, Cairo, Egypt; Department of Chemistry, Faculty of Science, University of Benghazi, Benghazi, Libya; Department of Pharmacognosy, Faculty of Pharmacy, Ahram Canadian University, Giza, 12573, Egypt","Scientific African","0","Antiproliferative; Apoptosis; In silico; MM-GBSA; Syzygium cumini","False","Scopus","10.1016/j.sciaf.2025.e03108"
"Targeting the Menin–KMT2A Interface: Medicinal Chemistry Rules Governing Reversible, Covalent, and Degrader Inhibitors","2026","Al-Karmalawy A.A.; Eissa M.E.; Yousef T.A.; Sharaky M.; Al Khatib A.O.; Hawas S.S.","Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Horus University-Egypt, New Damietta, Egypt; Chemistry Department, College of Science, Imam Mohammad Ibn Saud Islamic University (IMSIU), Riyadh, Saudi Arabia; Cancer Biology Department, Pharmacology Unit, National Cancer Institute (NCI), Cairo University, Cairo, Egypt; Faculty of Pharmacy, Al-Ahliyya Amman University, Amman, Jordan","Chemical Biology and Drug Design","0","acute myeloid leukemia; KMT2A translocation; menin inhibitor; NPM1-mutation; Revumenib; targeted therapy","False","Scopus","10.1111/cbdd.70291"
"Multi-scale attention-based deep learning framework for tumor microenvironment profiling","2026","Albekairi M.; Rashid N.; Alanazi M.D.; Alanazi T.M.; Kaaniche K.; Yousef A.; Abbas G.","Department of Electrical Engineering, College of Engineering, Jouf University, Sakakah, 72388, Saudi Arabia; Department of Electrical Engineering, College of Engineering, University of Hafr Al Batin, Hafr Al Batin, 39524, Saudi Arabia; Electrical Engineering Department, College of Engineering, University of Business and Technology, Jeddah, 21589, Saudi Arabia; Engineering Mathematics Department, Faculty of Engineering, Alexandria University, Alexandria, 5424041, Egypt; School of Electrical Engineering, Southeast University, Nanjing, 210096, China","Ain Shams Engineering Journal","0","Attention Mechanism; Deep Learning; Graph Convolutional Network; Histopathology; Multi-scale Feature Fusion; Nuclei Segmentation; Tumor Microenvironment","False","Scopus","10.1016/j.asej.2025.103957"
"Changing Strategies in Keratoplasty After Corneal Hydrops: From Penetrating to Lamellar Approaches–A Narrative Review","2026","Fairaq R.; Kirat O.; AlMutlak M.; Ahad M.A.; Khan O.; AlDayel A.; Khan S.A.; Alshareef M.; Alghamdi W.S.; Bin Helayel H.","Anterior Segment Division, King Khalid Eye Specialist Hospital, Riyadh, Saudi Arabia; Department of Ophthalmology, Ohud Hospital, Madinah, Saudi Arabia; Department of Ophthalmology, Ministry of National Guard Health Affairs, Riyadh, Saudi Arabia","Clinical Ophthalmology","0","corneal hydrops; corneal transplantation; graft survival; keratoconus; lamellar keratoplasty; visual rehabilitation","False","Scopus","10.2147/OPTH.S568953"
"Hospital-Based Clinical Profile and Management Patterns of Keratoconus in Riyadh City, Saudi Arabia: A Multi-Center Cross-Sectional Study","2026","Alzahrani K.; Alrashah A.; Almaznai A.; Alzamil H.; Alhamad F.; Alonazi M.; Alqahtani H.; Alamer H.; Alfaifi N.; ALmalki S.; Alrashah K.; Alshehri J.; Eldeeb S.","Optometry Department, King Fahad Armed Forces Hospital, Jeddah, 23311, Saudi Arabia; Research Administration, Najran Health Cluster, Najran, 66252, Saudi Arabia; Optometry Department, King Saud Medical City, Riyadh, 11461, Saudi Arabia; Ophthalmology Department, Security Forces Hospital, Riyadh, 11481, Saudi Arabia; Binrushd Ophthalmic Centre, Riyadh, 12311, Saudi Arabia; Royal Commission of Jubail, Jubail Industrial City, 35718, Saudi Arabia; College of Applied Medical Sciences, King Saud University, Riyadh, 11451, Saudi Arabia; Optometry Division, King Abdullah Specialized Children’s Hospital, Riyadh, 11426, Saudi Arabia; Comprehensive Specialized Clinic for Security Forces, Najran, 12564, Saudi Arabia; Optometry Department, Faculty of Applied Medical Sciences, Al-Baha University, Al-Baha, 65431, Saudi Arabia; Faculty of Medicine, Zagazig University, Zagazig, 44519, Egypt","Medicina (Lithuania)","0","corneal cross-linking; corneal ectasia; keratoconus; Pentacam","False","Scopus","10.3390/medicina62010122"
"Comparison of epithelium-off versus iontophoresis-assisted transepithelial corneal collagen cross-linking in keratoconus: a systematic review and meta-analysis","2026","Alajmi T.S.; Alasmari F.F.; Alasmari T.F.; Bamusa A.; Almarwani S.H.; Aljadani H.T.; Alaslab A.K.; Alghamdi A.; Alalyani M.A.; Qutub M.F.","College of Medicine, King Saud Bin Abdulaziz University for Health Sciences, Jeddah, Saudi Arabia; King Abdullah International Medical Research Center, Jeddah, Saudi Arabia; Department of Ophthalmology, Ministry of the National Guard-Health Affairs, Jeddah, Saudi Arabia","International Ophthalmology","1","Corneal collagen cross-linking; CXL; I-CXL; Keratoconus","False","Scopus","10.1007/s10792-026-03977-0"
"Enhancing wound healing with synergistic dual-drug electrospun roflumilast and L-arginine loaded PLA/PVA nanofibers through fabrication, optimization, and in vivo assessment","2026","Salim S.A.; Elbadry A.M.M.; Abdelazim E.B.; Abed T.; Shakweer M.M.; Eissa N.G.; Kamoun E.A.; Elsabahy M.","Nanotechnology Research Center (NTRC), The British University in Egypt (BUE), Cairo, El-Sherouk City, 11837, Egypt; Department of Pharmaceutics and Industrial Pharmacy, Faculty of Pharmacy, Galala University, New Galala, 43713, Egypt; Badr University in Cairo Research Center, Badr University in Cairo, Cairo, Badr City, 11829, Egypt; Department of Pathology, Faculty of Medicine, Badr University in Cairo, Cairo, 11829, Egypt; Department of Pathology, Faculty of Medicine, Ain Shams University, Cairo, Egypt; Department of Pharmaceutics, Faculty of Pharmacy, Zagazig University, Zagazig, 44519, Egypt; Department of Chemistry, College of Science, King Faisal University, Al-Ahsa, 31982, Saudi Arabia; Polymeric Materials Research Department, Advanced Technology and New Materials Research Institute (ATNMRI), City of Scientific Research and Technological Applications (SRTA-City), Alexandria, 21934, Egypt; Department of Pharmaceutics, Faculty of Pharmacy, Assiut University, Assiut, 71526, Egypt","Scientific Reports","1","Drug delivery; Dual-drug; Electrospinning; L-arginine; Nanofibers; PLA; Roflumilast; Wound healing","False","Scopus","10.1038/s41598-026-38086-6"
"Prevention and early intervention screening for inherited ocular diseases in Saudi Arabia: a national perspective","2026","AlEissa M.M.; Abedalthagafi M.; Edward D.P.","Department of Research, King Khaled Eye Specialist Hospital (KKESH) Research Center, Riyadh, Saudi Arabia; College of Medicine, AlFaisal University, Riyadh, Saudi Arabia; Public Health Observatory, Ministry of Health, Riyadh, Saudi Arabia; Public Health Authority, Public Health Lab, Molecular Genetics Department, Riyadh, Saudi Arabia; Computational Sciences Department at the Centre for Genomic Medicine (CGM), Faisal Specialist Hospital & Research Center, King, Riyadh, Saudi Arabia; Department of Pathology and Laboratory Medicine, Tufts University School of Medicine, Boston, MA, United States","Frontiers in Ophthalmology","0","AI; genetic screening; ocular diseases; PCG; prevention; Telemedicine; vision impairment","False","Scopus","10.3389/fopht.2025.1660483"
"Ex Vivo Assessment of Excimer Laser-Assisted Lenticule Customization","2026","Abusayf M.M.; Han E.; Liu Y.-C.; Riau A.K.; Mehta J.S.","Department of Ophthalmology, College of Medicine, King Saud University, Riyadh, Saudi Arabia; Refractive Surgery and Myopia Research Group, Research Excellence Center in Ophthalmology and Visual Sciences, Department of Ophthalmology, College of Medicine, King Saud University, Riyadh, Saudi Arabia; Regenerative Therapy Research Group, Singapore Eye Research Institute, Singapore, Singapore; Ophthalmology and Visual Sciences Academic Clinical Program, Duke–NUS Medical School, Singapore, Singapore; Singapore National Eye Centre, Singapore, Singapore","Translational Vision Science and Technology","0","corneal topography; excimer laser ablation; keratoconus; lenticule extraction; lenticule implantation","False","Scopus","10.1167/tvst.15.5.10"
"Evaluation of Popularity, Reliability, and Quality of Dental and Oral Microbiology Videos on YouTube as Sources of Dental Education","2026","Hashim A.; Shivappa A.B.","Department of Biomedical Sciences, College of Dentistry, King Faisal University, Al-Hassa, 31982, Saudi Arabia","International Journal of Dentistry","0","dental microbiology; oral microbiology; popularity; quality; reliability; YouTube","False","Scopus","10.1155/ijod/1509354"
